"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 21, 2021","31,655.2","35,595.0","35,595.0","31,655.2","11.40K","-11.07%"
"Jun 20, 2021","35,595.0","35,484.2","35,595.0","33,948.4","6.29K","0.25%"
"Jun 19, 2021","35,505.9","35,807.8","36,007.2","35,505.9","4.49K","-0.81%"
"Jun 18, 2021","35,795.9","38,078.2","38,078.2","35,795.9","6.56K","-5.95%"
"Jun 17, 2021","38,060.8","38,337.1","39,362.0","38,060.8","6.00K","-0.72%"
"Jun 16, 2021","38,337.1","40,166.6","40,299.9","38,337.1","6.49K","-4.55%"
"Jun 15, 2021","40,166.6","40,530.8","40,530.8","40,025.7","6.92K","-0.90%"
"Jun 14, 2021","40,530.8","39,034.6","40,534.4","38,809.3","9.38K","3.82%"
"Jun 13, 2021","39,040.4","35,544.9","39,040.4","35,235.2","6.77K","9.88%"
"Jun 12, 2021","35,528.9","37,322.2","37,322.2","35,352.3","5.77K","-4.80%"
"Jun 11, 2021","37,322.2","36,678.4","37,475.5","36,678.4","5.22K","1.76%"
"Jun 10, 2021","36,675.6","37,398.9","37,398.9","36,675.6","7.73K","-1.87%"
"Jun 09, 2021","37,373.5","33,420.0","37,373.5","32,832.2","9.36K","11.83%"
"Jun 08, 2021","33,420.0","33,578.6","33,578.6","32,220.4","10.55K","-0.50%"
"Jun 07, 2021","33,587.6","35,789.0","36,451.6","33,587.6","6.17K","-6.15%"
"Jun 06, 2021","35,789.0","35,532.2","36,082.3","35,532.2","3.19K","0.72%"
"Jun 05, 2021","35,532.1","36,847.7","37,601.7","35,532.1","5.53K","-3.62%"
"Jun 04, 2021","36,864.9","39,196.6","39,196.6","36,534.0","4.99K","-5.95%"
"Jun 03, 2021","39,196.5","37,565.3","39,196.5","37,565.3","5.23K","4.34%"
"Jun 02, 2021","37,565.3","36,676.3","37,901.1","36,517.4","6.31K","2.43%"
"Jun 01, 2021","36,675.9","37,273.1","37,273.1","36,081.2","5.70K","-1.68%"
"May 31, 2021","37,303.9","35,673.8","37,303.9","34,479.2","6.22K","4.57%"
"May 30, 2021","35,673.8","34,616.6","35,816.7","34,616.6","4.46K","3.05%"
"May 29, 2021","34,616.6","35,683.9","36,338.8","34,518.4","5.85K","-2.99%"
"May 28, 2021","35,683.9","38,537.1","38,537.1","35,683.9","9.07K","-7.32%"
"May 27, 2021","38,501.8","39,283.9","39,570.7","38,143.1","5.90K","-1.99%"
"May 26, 2021","39,283.9","38,379.8","39,842.7","38,379.8","9.23K","2.30%"
"May 25, 2021","38,399.1","38,843.0","39,051.2","37,973.3","9.24K","-1.06%"
"May 24, 2021","38,808.9","34,664.3","38,808.9","34,664.3","11.06K","11.88%"
"May 23, 2021","34,688.9","37,468.3","37,468.3","32,917.9","14.83K","-7.44%"
"May 22, 2021","37,477.1","37,331.7","38,421.5","36,500.0","9.12K","0.36%"
"May 21, 2021","37,344.5","40,612.1","40,612.1","37,184.4","17.02K","-8.05%"
"May 20, 2021","40,612.1","36,742.3","40,690.0","36,742.3","14.15K","10.46%"
"May 19, 2021","36,767.0","42,895.2","42,895.2","36,767.0","32.69K","-14.35%"
"May 18, 2021","42,927.9","43,551.8","45,014.0","42,927.9","7.80K","-1.46%"
"May 17, 2021","43,565.8","46,474.7","46,474.7","43,565.8","11.24K","-6.21%"
"May 16, 2021","46,451.4","46,759.5","48,918.8","46,451.4","8.21K","-0.68%"
"May 15, 2021","46,771.1","49,899.0","49,899.0","46,771.1","5.67K","-6.27%"
"May 14, 2021","49,899.0","49,675.2","50,622.8","49,675.2","5.36K","0.40%"
"May 13, 2021","49,700.1","49,744.7","50,568.6","49,278.8","13.36K","0.42%"
"May 12, 2021","49,491.4","56,747.5","57,249.0","49,491.4","8.46K","-12.77%"
"May 11, 2021","56,739.8","55,900.0","56,739.8","55,059.9","3.82K","1.50%"
"May 10, 2021","55,900.0","58,293.1","58,293.1","55,900.0","6.71K","-4.11%"
"May 09, 2021","58,293.1","58,953.8","58,953.8","57,889.0","4.28K","-1.12%"
"May 08, 2021","58,953.8","57,383.0","58,953.8","57,383.0","4.32K","2.74%"
"May 07, 2021","57,383.0","56,421.1","57,383.0","56,106.1","4.49K","1.70%"
"May 06, 2021","56,421.1","57,497.1","57,497.1","56,421.1","3.82K","-1.87%"
"May 05, 2021","57,497.1","53,269.7","57,497.1","53,269.7","5.05K","7.94%"
"May 04, 2021","53,265.3","57,193.4","57,193.4","53,265.3","6.11K","-6.87%"
