unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1632275220,2021-09-22 01:47:00,BTC/USD,42305.02,42359.36,42301.99,42359.36,3.27795670,138852.147919712
1632275160,2021-09-22 01:46:00,BTC/USD,42254.72,42337.05,42204.59,42311.47,20.36428832,861642.9743230304
1632275100,2021-09-22 01:45:00,BTC/USD,42147.82,42254.00,42140.87,42234.73,5.66929489,239441.1389695297
1632275040,2021-09-22 01:44:00,BTC/USD,42136.78,42201.00,42136.78,42175.51,3.37505915,142344.8409314165
1632274980,2021-09-22 01:43:00,BTC/USD,42094.03,42156.43,42039.85,42156.43,13.28738929,560148.8964866347
1632274920,2021-09-22 01:42:00,BTC/USD,42006.07,42106.72,42000.66,42102.19,3.66453833,154285.0890319427
1632274860,2021-09-22 01:41:00,BTC/USD,41959.72,41997.09,41947.27,41991.80,1.76015811,73912.207323498
1632274800,2021-09-22 01:40:00,BTC/USD,41957.43,41985.03,41943.63,41975.52,0.45631813,19154.190792177596
1632274740,2021-09-22 01:39:00,BTC/USD,41976.17,42012.78,41976.17,41980.65,0.52594000,22079.303061
1632274680,2021-09-22 01:38:00,BTC/USD,41978.51,41987.85,41964.49,41986.74,2.82772089,118726.78180099861
1632274620,2021-09-22 01:37:00,BTC/USD,41969.37,42069.60,41955.88,41968.07,34.83332017,1461887.219226972
1632274560,2021-09-22 01:36:00,BTC/USD,41980.02,41980.02,41943.63,41960.23,0.09561653,4012.0915906019004
1632274500,2021-09-22 01:35:00,BTC/USD,42019.37,42045.68,41990.91,42004.60,0.06429693,2700.766825878
1632274440,2021-09-22 01:34:00,BTC/USD,42008.36,42030.83,41969.88,41990.00,3.48875000,146492.6125
1632274380,2021-09-22 01:33:00,BTC/USD,41952.05,42055.61,41950.51,42004.56,0.30191493,12681.8037920808
1632274320,2021-09-22 01:32:00,BTC/USD,41946.96,41972.14,41946.96,41953.74,0.26784710,11237.187593154
1632274260,2021-09-22 01:31:00,BTC/USD,42038.85,42038.85,41938.23,41938.23,1.86166551,78074.95634144731
1632274200,2021-09-22 01:30:00,BTC/USD,42126.22,42156.83,42014.71,42034.83,5.82875829,245010.86383124068
1632274140,2021-09-22 01:29:00,BTC/USD,42040.50,42181.86,42010.62,42105.81,0.57595190,24250.921270539
1632274080,2021-09-22 01:28:00,BTC/USD,42004.64,42118.74,41997.12,42073.86,4.55534864,191661.1009305504
1632274020,2021-09-22 01:27:00,BTC/USD,41897.34,41993.90,41882.54,41970.73,14.42346957,605363.5469856862
1632273960,2021-09-22 01:26:00,BTC/USD,41996.54,41996.54,41916.92,41924.02,0.36236008,15191.591241121598
1632273900,2021-09-22 01:25:00,BTC/USD,42050.00,42050.00,41921.88,41996.49,2.49787568,104902.01101636319
1632273840,2021-09-22 01:24:00,BTC/USD,41892.27,42032.48,41892.27,42032.48,2.28016790,95841.111653392
1632273780,2021-09-22 01:23:00,BTC/USD,41952.20,41952.20,41890.39,41892.27,0.51996214,21782.394358657795
1632273720,2021-09-22 01:22:00,BTC/USD,42010.31,42010.31,41906.86,41997.39,0.12221702,5132.7958535778
1632273660,2021-09-22 01:21:00,BTC/USD,41924.92,42018.94,41888.94,42010.82,2.31173016,97117.6796403312
1632273600,2021-09-22 01:20:00,BTC/USD,41977.54,42041.02,41916.36,42002.36,1.05414546,44276.5971032856
1632273540,2021-09-22 01:19:00,BTC/USD,41991.27,42000.84,41904.64,41904.64,0.16365932,6858.0848872448
1632273480,2021-09-22 01:18:00,BTC/USD,42065.03,42080.28,41903.33,41998.88,3.91300218,164341.7089975584
1632273420,2021-09-22 01:17:00,BTC/USD,41898.34,42186.90,41898.34,42132.66,15.62005295,658114.380124347
1632273360,2021-09-22 01:16:00,BTC/USD,41886.15,41920.76,41853.65,41920.76,0.75353155,31588.615259978003
1632273300,2021-09-22 01:15:00,BTC/USD,41789.41,41909.05,41789.41,41909.05,0.93737705,39284.58165730251
1632273240,2021-09-22 01:14:00,BTC/USD,41829.27,41868.65,41766.04,41792.00,1.75162317,73203.83552064
1632273180,2021-09-22 01:13:00,BTC/USD,41795.29,41885.87,41771.20,41821.30,2.38819675,99877.49274077501
1632273120,2021-09-22 01:12:00,BTC/USD,41750.00,41904.00,41750.00,41780.00,3.58374229,149728.7528762
1632273060,2021-09-22 01:11:00,BTC/USD,41675.39,41748.72,41636.77,41669.82,0.76674119,31949.967373885796
1632273000,2021-09-22 01:10:00,BTC/USD,41773.22,41796.08,41668.64,41700.53,0.24046574,10027.5488048422
1632272940,2021-09-22 01:09:00,BTC/USD,41499.00,41877.96,41499.00,41828.62,11.56392418,483702.9902340317
1632272880,2021-09-22 01:08:00,BTC/USD,41223.74,41482.63,41154.14,41482.63,2.99991833,124444.50211360789
